model,search_stage,training_source,training_rows,n_splits,random_state,params,mean_test_precision_attack,std_test_precision_attack,mean_test_recall_attack,std_test_recall_attack,mean_test_f1_attack,std_test_f1_attack,mean_test_accuracy,std_test_accuracy,mean_test_balanced_accuracy,std_test_balanced_accuracy,mean_fit_time,rank_test_f1_attack
decision_tree,search_01_initial,unsw_nb15,235490,5,1,"{'classifier__max_depth': 10, 'classifier__min_samples_leaf': 1}",0.9426018588897612,0.0014454424468658105,0.9950953340235404,0.0008206524851939712,0.9681368922674214,0.0008941866588343941,0.9868996560363497,0.0003745564919308539,0.9899730328132478,0.00047226311691493883,2.6120770454406737,1
decision_tree,search_01_initial,unsw_nb15,235490,5,1,"{'classifier__max_depth': 10, 'classifier__min_samples_leaf': 5}",0.9423219921011701,0.0013637168495559866,0.9951802709840909,0.0010370524442090186,0.9680293908369544,0.0009030860049837372,0.9868529449233513,0.00037585411887315113,0.9899756908267247,0.000559502066241662,2.624922847747803,2
decision_tree,search_01_initial,unsw_nb15,235490,5,1,"{'classifier__max_depth': 10, 'classifier__min_samples_leaf': 10}",0.9415019983835997,0.001585055527324025,0.9950528599080009,0.0009220945973089619,0.9675360409489523,0.0008989964255816012,0.9866448681472674,0.0003781500167462619,0.9897978611099545,0.0004825734964169215,2.5232833862304687,3
decision_tree,search_01_initial,unsw_nb15,235490,5,1,"{'classifier__max_depth': 20, 'classifier__min_samples_leaf': 10}",0.9476306653989223,0.0014250313709862424,0.9792985019889103,0.0011742026950053558,0.9632037618066581,0.0010690097632443047,0.9850354579812308,0.00043851817549536855,0.9828840995746416,0.0006694865462851657,2.46590895652771,4
decision_tree,search_01_initial,unsw_nb15,235490,5,1,"{'classifier__max_depth': None, 'classifier__min_samples_leaf': 10}",0.9486723239046837,0.0014524517238901898,0.9755616093323587,0.0022889824598948346,0.9619278725622102,0.0015610699496691584,0.9845556074567922,0.0006264938942009278,0.9811828578831312,0.0012188930860954903,1.9894681453704834,5
decision_tree,search_01_initial,unsw_nb15,235490,5,1,"{'classifier__max_depth': 20, 'classifier__min_samples_leaf': 5}",0.9490830168649396,0.0009394244903953385,0.9736083342406108,0.0023807810966158644,0.9611886446313511,0.001611485735172768,0.9842753407788016,0.0006419890845119071,0.9802752261231269,0.001291591956662079,3.054223394393921,6
decision_tree,search_01_initial,unsw_nb15,235490,5,1,"{'classifier__max_depth': 20, 'classifier__min_samples_leaf': 1}",0.9482399125089254,0.001909098733412642,0.9712302886900919,0.002417011179706099,0.9595959715781082,0.0018230741454801447,0.9836426175209138,0.0007343560798147918,0.9789880021724869,0.0013218986496989543,3.2030917167663575,7
decision_tree,search_01_initial,unsw_nb15,235490,5,1,"{'classifier__max_depth': None, 'classifier__min_samples_leaf': 5}",0.9506013161311703,0.0007076954835531063,0.9667078198762091,0.0030864553001222973,0.9585846142814409,0.0016402297794245503,0.9832944074058346,0.0006391458573873369,0.9770744493548028,0.0015487648277770617,2.6129992961883546,8
decision_tree,search_01_initial,unsw_nb15,235490,5,1,"{'classifier__max_depth': None, 'classifier__min_samples_leaf': 1}",0.9509093921950098,0.001135481793957575,0.9561977856115467,0.0025542987830508477,0.9535441906812714,0.0013832684134864825,0.9813665123784447,0.0005377439761612578,0.9719282471367997,0.0012672687867985985,2.7022913455963136,9
decision_tree,search_01_initial,unsw_nb15,235490,5,1,"{'classifier__max_depth': 5, 'classifier__min_samples_leaf': 1}",0.9331059945408324,0.0017373885665371669,0.9541593504027748,0.0032663606342543347,0.9435100010799113,0.001332481874392609,0.9771497728141323,0.0005080518495541284,0.9685283535169514,0.001485886188260348,1.612159538269043,10
decision_tree,search_01_initial,unsw_nb15,235490,5,1,"{'classifier__max_depth': 5, 'classifier__min_samples_leaf': 5}",0.9330835861530529,0.0017118744422078864,0.9541168875577644,0.0031881068606507247,0.9434780208168874,0.0013069783593724314,0.9771370334196782,0.0004989189568211028,0.9685044680961978,0.0014508316882452582,1.6079022884368896,11
decision_tree,search_01_initial,unsw_nb15,235490,5,1,"{'classifier__max_depth': 5, 'classifier__min_samples_leaf': 10}",0.9329955570518382,0.0017598995942388676,0.9539470271612986,0.0032135030813116566,0.9433496728027381,0.0012627652170351983,0.9770860758418618,0.00048013228672478517,0.9684089216936547,0.0014472053722950182,1.6196526527404784,12
decision_tree,search_01_initial,unsw_nb15,235490,5,1,"{'classifier__max_depth': 3, 'classifier__min_samples_leaf': 5}",0.8505393870471432,0.002735881846288771,0.9319715919554572,0.001304787844555401,0.8893908999867038,0.0010062183833416585,0.9536370971166506,0.0005262190691633382,0.945512523624331,0.0003039235524748242,1.119940996170044,13
decision_tree,search_01_initial,unsw_nb15,235490,5,1,"{'classifier__max_depth': 3, 'classifier__min_samples_leaf': 1}",0.8505393870471432,0.002735881846288771,0.9319715919554572,0.001304787844555401,0.8893908999867038,0.0010062183833416585,0.9536370971166506,0.0005262190691633382,0.945512523624331,0.0003039235524748242,1.2774563312530518,13
decision_tree,search_01_initial,unsw_nb15,235490,5,1,"{'classifier__max_depth': 3, 'classifier__min_samples_leaf': 10}",0.8505393870471432,0.002735881846288771,0.9319715919554572,0.001304787844555401,0.8893908999867038,0.0010062183833416585,0.9536370971166506,0.0005262190691633382,0.945512523624331,0.0003039235524748242,1.2476829051971436,13
