model,search_stage,training_source,training_rows,n_splits,random_state,params,mean_test_precision_attack,std_test_precision_attack,mean_test_recall_attack,std_test_recall_attack,mean_test_f1_attack,std_test_f1_attack,mean_test_accuracy,std_test_accuracy,mean_test_balanced_accuracy,std_test_balanced_accuracy,mean_fit_time,rank_test_f1_attack
mlp,search_01_initial,cicids2017_iot23,470980,5,1,"{'classifier__alpha': 0.001, 'classifier__hidden_layer_sizes': (100, 50), 'classifier__learning_rate_init': 0.001}",0.9877942942912139,0.0008627439337290159,0.9879825037706371,0.0007511468483762448,0.9878881566679845,0.0006509840668415996,0.9951547836426176,0.00026078618810214524,0.9924651789082721,0.00042014054335894253,60.25156197547913,1
mlp,search_01_initial,cicids2017_iot23,470980,5,1,"{'classifier__alpha': 0.0001, 'classifier__hidden_layer_sizes': (100, 50), 'classifier__learning_rate_init': 0.001}",0.9874611710496911,0.000528104883575383,0.9881629804413732,0.001666104566307321,0.9878110385734515,0.0007909856069438986,0.9951229351564823,0.0003125265401233616,0.9925129524616232,0.0008119968073305549,67.89094915390015,2
mlp,search_01_initial,cicids2017_iot23,470980,5,1,"{'classifier__alpha': 0.0001, 'classifier__hidden_layer_sizes': (100,), 'classifier__learning_rate_init': 0.001}",0.9777889302321718,0.011223648078797928,0.9820798843119072,0.002596214509854061,0.9798899127960754,0.005292532831923878,0.9919253471484988,0.0021746253717640873,0.988233297502606,0.0015275662091125846,56.85249629020691,3
mlp,search_01_initial,cicids2017_iot23,470980,5,1,"{'classifier__alpha': 0.001, 'classifier__hidden_layer_sizes': (100, 50), 'classifier__learning_rate_init': 0.0001}",0.9646151162604649,0.000950256284919306,0.9837041777295124,0.0017806757734379684,0.9740659450461864,0.0013496642025035985,0.9895239712938979,0.0005407535735609071,0.9873415472587359,0.0010049677067013342,85.48142037391662,4
mlp,search_01_initial,cicids2017_iot23,470980,5,1,"{'classifier__alpha': 0.0001, 'classifier__hidden_layer_sizes': (100, 50), 'classifier__learning_rate_init': 0.0001}",0.964058701232527,0.0008515460407192899,0.9838422033886653,0.0018306660753792917,0.9738493406875446,0.0011700636054691029,0.9894326723003101,0.0004668504787387382,0.987336246746197,0.0009661121983476495,86.24776334762574,5
mlp,search_01_initial,cicids2017_iot23,470980,5,1,"{'classifier__alpha': 0.001, 'classifier__hidden_layer_sizes': (100,), 'classifier__learning_rate_init': 0.001}",0.9641473123021328,0.0010409842801105554,0.9832264577627227,0.00119412006721103,0.9735933948244906,0.0011060856227934055,0.9893328803770862,0.00044600011695766523,0.9870429711349061,0.0007250485348041412,38.776399755477904,6
mlp,search_01_initial,cicids2017_iot23,470980,5,1,"{'classifier__alpha': 0.0001, 'classifier__hidden_layer_sizes': (50,), 'classifier__learning_rate_init': 0.001}",0.9629485396949035,0.001033343986481455,0.9819418997880014,0.0016680266855711968,0.9723517421625771,0.0010880171972911066,0.9888317975285574,0.00043528853615701693,0.9862480850294626,0.0008737181674377177,35.09176626205444,7
mlp,search_01_initial,cicids2017_iot23,470980,5,1,"{'classifier__alpha': 0.001, 'classifier__hidden_layer_sizes': (50,), 'classifier__learning_rate_init': 0.001}",0.96369897921129,0.0013950331127508533,0.9810182957182491,0.001105731353205349,0.9722810215809427,0.0010553274121216062,0.9888126884368763,0.0004279985747235491,0.9858897905815729,0.0006449759832890578,30.95072822570801,8
mlp,search_01_initial,cicids2017_iot23,470980,5,1,"{'classifier__alpha': 0.001, 'classifier__hidden_layer_sizes': (100,), 'classifier__learning_rate_init': 0.0001}",0.962073572227974,0.001099605524234911,0.9797018956812386,0.0009991084637080894,0.97080766557731,0.0010290612886791899,0.9882160601299418,0.0004161210524435393,0.9850232483195309,0.0006309653926672043,55.08591923713684,9
mlp,search_01_initial,cicids2017_iot23,470980,5,1,"{'classifier__alpha': 0.0001, 'classifier__hidden_layer_sizes': (100,), 'classifier__learning_rate_init': 0.0001}",0.9619655296737044,0.0009960481694296238,0.9792135430983,0.0008702793216313773,0.9705126333338792,0.0007813645504881794,0.9880992823474457,0.00031642574691514313,0.9847671288950686,0.0004976805270726333,48.55664682388306,10
mlp,search_01_initial,cicids2017_iot23,470980,5,1,"{'classifier__alpha': 0.0001, 'classifier__hidden_layer_sizes': (50,), 'classifier__learning_rate_init': 0.0001}",0.9610557817736198,0.0013132726753379135,0.9759013262341787,0.0020391442085577137,0.9684213401361758,0.0016128164657228429,0.9872712217079282,0.0006453718498322002,0.9830075126470916,0.001161488490368998,34.49506664276123,11
mlp,search_01_initial,cicids2017_iot23,470980,5,1,"{'classifier__alpha': 0.001, 'classifier__hidden_layer_sizes': (50,), 'classifier__learning_rate_init': 0.0001}",0.9606633959546207,0.0013763015504059562,0.9748609318722545,0.0023905336078669987,0.9677097008185773,0.0018387123015927212,0.9869888317975285,0.0007347304554026359,0.9824408698628406,0.0013518526000101266,27.590199851989745,12
