model,search_stage,training_source,training_rows,n_splits,random_state,params,mean_test_precision_attack,std_test_precision_attack,mean_test_recall_attack,std_test_recall_attack,mean_test_f1_attack,std_test_f1_attack,mean_test_accuracy,std_test_accuracy,mean_test_balanced_accuracy,std_test_balanced_accuracy,mean_fit_time,rank_test_f1_attack
mlp,search_01_initial,cicids2017,235490,5,1,"{'classifier__alpha': 0.0001, 'classifier__hidden_layer_sizes': (100, 50), 'classifier__learning_rate_init': 0.001}",0.9781108519699441,0.0018514628967981703,0.9912734953900155,0.0008070576488846042,0.9846469431041742,0.0009192308395032157,0.9938171472249353,0.0003751337691682691,0.9928632747263068,0.0004099905462550051,46.18086152076721,1
mlp,search_01_initial,cicids2017,235490,5,1,"{'classifier__alpha': 0.001, 'classifier__hidden_layer_sizes': (100, 50), 'classifier__learning_rate_init': 0.001}",0.9778974686817647,0.0012775273754522618,0.9910399610129861,0.001196553334664281,0.9844246639737554,0.0011614165535540743,0.9937279714637564,0.00046799818490451,0.9927199674848696,0.00072869429487622,31.890695571899414,2
mlp,search_01_initial,cicids2017,235490,5,1,"{'classifier__alpha': 0.001, 'classifier__hidden_layer_sizes': (100,), 'classifier__learning_rate_init': 0.001}",0.9779278855656148,0.001315563017841543,0.9830566486090252,0.0023770290152467484,0.9804846196507183,0.0016586290598528896,0.9921737653403543,0.0006610860641358224,0.9887548518288842,0.0012885093568244562,31.263653993606567,3
mlp,search_01_initial,cicids2017,235490,5,1,"{'classifier__alpha': 0.0001, 'classifier__hidden_layer_sizes': (100,), 'classifier__learning_rate_init': 0.001}",0.9776309491670571,0.0010117880702637473,0.9826956941394827,0.0024104534480602255,0.9801555287416628,0.0014730577981114624,0.992042124930995,0.0005849341514361373,0.9885372177733686,0.0012550313703038236,23.253502893447877,4
mlp,search_01_initial,cicids2017,235490,5,1,"{'classifier__alpha': 0.0001, 'classifier__hidden_layer_sizes': (50,), 'classifier__learning_rate_init': 0.001}",0.9768655541891315,0.0012948205756693671,0.982568271792864,0.0027555027303136845,0.9797065760049687,0.0016160506301041901,0.9918595269438193,0.0006404423577910013,0.9883753069743353,0.0014080452510751259,25.373210382461547,5
mlp,search_01_initial,cicids2017,235490,5,1,"{'classifier__alpha': 0.001, 'classifier__hidden_layer_sizes': (50,), 'classifier__learning_rate_init': 0.001}",0.9768174688102331,0.0013780105547553396,0.9822710273695779,0.0024686015371332,0.9795350500396326,0.0015497719408132775,0.9917915835067307,0.0006158984503568212,0.9882213769070735,0.001281793444601531,23.874975061416627,6
mlp,search_01_initial,cicids2017,235490,5,1,"{'classifier__alpha': 0.0001, 'classifier__hidden_layer_sizes': (100, 50), 'classifier__learning_rate_init': 0.0001}",0.9770420685168425,0.0013343431355656717,0.9812731099379242,0.0010856153754663558,0.9791526948817753,0.0010788630488715839,0.9916429572380994,0.00043359712169073174,0.9877542679312004,0.0006547365299520716,53.95012874603272,7
mlp,search_01_initial,cicids2017,235490,5,1,"{'classifier__alpha': 0.001, 'classifier__hidden_layer_sizes': (100, 50), 'classifier__learning_rate_init': 0.0001}",0.9767585800939443,0.001172342774733494,0.9806574527838094,0.0024148821127303586,0.9787029432878723,0.0015566858842065733,0.9914646057157416,0.0006184404173340932,0.987411935545502,0.0012749448473143702,45.07944278717041,8
mlp,search_01_initial,cicids2017,235490,5,1,"{'classifier__alpha': 0.0001, 'classifier__hidden_layer_sizes': (100,), 'classifier__learning_rate_init': 0.0001}",0.9743701392423372,0.0010900844090266405,0.9782581577779386,0.0012647973920344592,0.9763094637367734,0.0007732815128808444,0.9905049046668648,0.0003089722665689582,0.9859123823663601,0.0006239591196629698,29.269524097442627,9
mlp,search_01_initial,cicids2017,235490,5,1,"{'classifier__alpha': 0.001, 'classifier__hidden_layer_sizes': (100,), 'classifier__learning_rate_init': 0.0001}",0.9743694513847523,0.0010709580102616903,0.9782369263554331,0.0012870404515991241,0.9762985949490709,0.0008088702136660838,0.9905006582020468,0.00032301057804128854,0.9859017665142297,0.0006450903129021155,28.593630647659303,10
mlp,search_01_initial,cicids2017,235490,5,1,"{'classifier__alpha': 0.001, 'classifier__hidden_layer_sizes': (50,), 'classifier__learning_rate_init': 0.0001}",0.9750831172174717,0.0009393189044752078,0.9771115910853723,0.001159485934089315,0.9760959466395013,0.000876499820891892,0.9904284683001402,0.0003500179376617872,0.9854346435909684,0.0006329503200402266,29.89185848236084,11
mlp,search_01_initial,cicids2017,235490,5,1,"{'classifier__alpha': 0.0001, 'classifier__hidden_layer_sizes': (50,), 'classifier__learning_rate_init': 0.0001}",0.9751258836084432,0.0008740882464252813,0.9747121811201056,0.004500648147346501,0.9749142252430485,0.002432825494361926,0.989969850099792,0.000949310483150454,0.9842482089517717,0.00227400585368487,28.151072645187377,12
