model,search_stage,training_source,training_rows,n_splits,random_state,params,mean_test_precision_attack,std_test_precision_attack,mean_test_recall_attack,std_test_recall_attack,mean_test_f1_attack,std_test_f1_attack,mean_test_accuracy,std_test_accuracy,mean_test_balanced_accuracy,std_test_balanced_accuracy,mean_fit_time,rank_test_f1_attack
mlp,search_01_initial,cicids2017_unsw_nb15,470980,5,1,"{'classifier__alpha': 0.0001, 'classifier__hidden_layer_sizes': (100, 50), 'classifier__learning_rate_init': 0.001}",0.9527512344879616,0.0012359769215972438,0.9900208076731098,0.0020296251816417426,0.9710266467688877,0.0009567708069202819,0.9881842116438065,0.00038277116602232464,0.9888729359112884,0.0009545729878680008,106.51035146713257,1
mlp,search_01_initial,cicids2017_unsw_nb15,470980,5,1,"{'classifier__alpha': 0.001, 'classifier__hidden_layer_sizes': (100, 50), 'classifier__learning_rate_init': 0.001}",0.9487061874897236,0.0034627288224877476,0.9854239719766411,0.005241079193249246,0.9667014619485583,0.002185976937778029,0.9864240519767293,0.0008705874288676481,0.986049015932133,0.0023661696814154223,63.893578100204465,2
mlp,search_01_initial,cicids2017_unsw_nb15,470980,5,1,"{'classifier__alpha': 0.001, 'classifier__hidden_layer_sizes': (100, 50), 'classifier__learning_rate_init': 0.0001}",0.9504393096600303,0.0029972609203565066,0.9810926180939414,0.0007163493519106743,0.9655199509744303,0.0015101259521515943,0.9859845428680624,0.0006364882747440256,0.9841500724712173,0.0004764744262033956,141.2836932659149,3
mlp,search_01_initial,cicids2017_unsw_nb15,470980,5,1,"{'classifier__alpha': 0.0001, 'classifier__hidden_layer_sizes': (100, 50), 'classifier__learning_rate_init': 0.0001}",0.9444856236831176,0.0026659829077832695,0.9830460222272336,0.002717937274945462,0.9633739259738731,0.0011237146361545965,0.9850503206080938,0.0004625723849385061,0.9842987129966921,0.0011351771813623182,150.24490637779235,4
mlp,search_01_initial,cicids2017_unsw_nb15,470980,5,1,"{'classifier__alpha': 0.001, 'classifier__hidden_layer_sizes': (100,), 'classifier__learning_rate_init': 0.001}",0.9506777736439235,0.004483273206208964,0.9607943137339096,0.02535745232602249,0.9555190603278749,0.012182691934562827,0.9821775871586904,0.0046235471107502965,0.974158835511439,0.01235269168898502,70.70823035240173,5
mlp,search_01_initial,cicids2017_unsw_nb15,470980,5,1,"{'classifier__alpha': 0.0001, 'classifier__hidden_layer_sizes': (100,), 'classifier__learning_rate_init': 0.001}",0.9496760891158524,0.004871408256553131,0.9616966677857708,0.025355510779252702,0.9554741264675721,0.01282935505134261,0.9821414922077369,0.004905592359782674,0.9744746570770737,0.012520429628143918,74.78615379333496,6
mlp,search_01_initial,cicids2017_unsw_nb15,470980,5,1,"{'classifier__alpha': 0.0001, 'classifier__hidden_layer_sizes': (50,), 'classifier__learning_rate_init': 0.001}",0.9537896931749618,0.00027814677170737487,0.9200815480917809,0.0019423112962121754,0.9366313759690253,0.0010129267511877948,0.9751008535394284,0.00037356824630324225,0.954468615971181,0.0009597527348563452,48.91444439888001,7
mlp,search_01_initial,cicids2017_unsw_nb15,470980,5,1,"{'classifier__alpha': 0.001, 'classifier__hidden_layer_sizes': (50,), 'classifier__learning_rate_init': 0.001}",0.9534086363554396,0.0010799351800503778,0.9195825983929755,0.002213739301082473,0.9361891805546195,0.0014861150178168948,0.974928871714298,0.0005668911248107511,0.9541740223415134,0.00117051328469709,41.62904815673828,8
mlp,search_01_initial,cicids2017_unsw_nb15,470980,5,1,"{'classifier__alpha': 0.0001, 'classifier__hidden_layer_sizes': (100,), 'classifier__learning_rate_init': 0.0001}",0.9544948548672224,0.0013001100629236799,0.9116629019463058,0.002205915163917547,0.9325866791683806,0.0016671670772491405,0.973640069642023,0.0006364741089967375,0.9503986307296879,0.001214763820513998,121.3575309753418,9
mlp,search_01_initial,cicids2017_unsw_nb15,470980,5,1,"{'classifier__alpha': 0.001, 'classifier__hidden_layer_sizes': (100,), 'classifier__learning_rate_init': 0.0001}",0.9535724612530008,0.0011662228567257123,0.9070872852754185,0.00311557135881119,0.9297473097447186,0.002021934008144137,0.9725848231347403,0.0007579553107409381,0.9480232388495722,0.0016321583764416986,102.45713257789612,10
mlp,search_01_initial,cicids2017_unsw_nb15,470980,5,1,"{'classifier__alpha': 0.0001, 'classifier__hidden_layer_sizes': (50,), 'classifier__learning_rate_init': 0.0001}",0.9523806235531456,0.0012226637825203833,0.9065990504632561,0.006516607675087122,0.9289141697075444,0.0035106182753856423,0.9722535988789334,0.0012849433459317893,0.9476331492153667,0.0032358965919603035,87.71982741355896,11
mlp,search_01_initial,cicids2017_unsw_nb15,470980,5,1,"{'classifier__alpha': 0.001, 'classifier__hidden_layer_sizes': (50,), 'classifier__learning_rate_init': 0.0001}",0.9518684965786939,0.0019079625368569899,0.9039449648710625,0.002473103808705019,0.9272847242889755,0.0014101130733723674,0.9716463544099536,0.0005350966930417295,0.9462583338696872,0.0011910970779201403,84.97633633613586,12
