model,search_stage,training_source,training_rows,n_splits,random_state,params,mean_test_precision_attack,std_test_precision_attack,mean_test_recall_attack,std_test_recall_attack,mean_test_f1_attack,std_test_f1_attack,mean_test_accuracy,std_test_accuracy,mean_test_balanced_accuracy,std_test_balanced_accuracy,mean_fit_time,rank_test_f1_attack
mlp,search_01_initial,iot23,235490,5,1,"{'classifier__alpha': 0.0001, 'classifier__hidden_layer_sizes': (100, 50), 'classifier__learning_rate_init': 0.001}",0.9997643938776329,0.00014201738878113086,0.99114612488783,0.0013605272081822029,0.9954361523069574,0.0007043576373466007,0.9981825130578793,0.00027929990492005935,0.9955438679701105,0.0006841244925129353,16.23920359611511,1
mlp,search_01_initial,iot23,235490,5,1,"{'classifier__alpha': 0.001, 'classifier__hidden_layer_sizes': (100, 50), 'classifier__learning_rate_init': 0.001}",0.999807160914572,0.00012495931914358204,0.9911036575346079,0.0013418738399330326,0.995435968257331,0.0007107283044188538,0.9981825130578793,0.0002818705979069553,0.9955279423604351,0.0006790028076172818,14.484616613388061,2
mlp,search_01_initial,iot23,235490,5,1,"{'classifier__alpha': 0.0001, 'classifier__hidden_layer_sizes': (100,), 'classifier__learning_rate_init': 0.001}",0.9995504262385781,0.00034133922487758353,0.9910824216038909,0.0012471606957937561,0.9952979989599143,0.000658439562728937,0.9981273090152447,0.0002612179965048216,0.9954854754299511,0.0006267986960408511,12.839458131790161,3
mlp,search_01_initial,iot23,235490,5,1,"{'classifier__alpha': 0.001, 'classifier__hidden_layer_sizes': (100, 50), 'classifier__learning_rate_init': 0.0001}",0.9995933486727298,0.00021817771479214603,0.9910399655211977,0.0013964995253225928,0.9952976788041097,0.0006418056581672619,0.9981273090152447,0.0002542210632654531,0.9954695558781739,0.0006815006890085645,24.01916813850403,4
mlp,search_01_initial,iot23,235490,5,1,"{'classifier__alpha': 0.0001, 'classifier__hidden_layer_sizes': (100, 50), 'classifier__learning_rate_init': 0.0001}",0.9996147415555366,0.00019839824345933545,0.9910187295904809,0.0013150526242784065,0.9952976312553272,0.0005945451112543217,0.9981273090152447,0.00023543957324098595,0.9954615919110636,0.0006395678818195438,27.94506616592407,5
mlp,search_01_initial,iot23,235490,5,1,"{'classifier__alpha': 0.001, 'classifier__hidden_layer_sizes': (100,), 'classifier__learning_rate_init': 0.001}",0.9995504055691524,0.00032062505321306135,0.9910611901813857,0.0012711401368795117,0.9952872680166006,0.000665636949950545,0.9981230625504269,0.0002640331488676328,0.9954748597891374,0.0006380787585783296,11.35965256690979,6
mlp,search_01_initial,iot23,235490,5,1,"{'classifier__alpha': 0.0001, 'classifier__hidden_layer_sizes': (50,), 'classifier__learning_rate_init': 0.001}",0.9994433410762694,0.0002182283436993171,0.9910824261121025,0.0012471177141529046,0.9952449277874387,0.0006455262408093948,0.9981060766911547,0.0002559882266440522,0.9954722076928151,0.0006259403132019416,8.014865493774414,7
mlp,search_01_initial,iot23,235490,5,1,"{'classifier__alpha': 0.001, 'classifier__hidden_layer_sizes': (50,), 'classifier__learning_rate_init': 0.001}",0.9993579902563272,0.0002787974604758826,0.9910399587588804,0.0012464138775596138,0.995181070395031,0.0005517253885769304,0.9980805979022463,0.000218435112312418,0.9954403579527715,0.0006018679835587336,8.123930501937867,8
mlp,search_01_initial,iot23,235490,5,1,"{'classifier__alpha': 0.0001, 'classifier__hidden_layer_sizes': (100,), 'classifier__learning_rate_init': 0.0001}",0.9973926015428767,0.0011318945181986654,0.9908064108572161,0.0011908780233495595,0.9940884924338637,0.0011163439007861686,0.9976432120259883,0.000444967918720265,0.9950794115141205,0.0007182954132649435,14.953082370758057,9
mlp,search_01_initial,iot23,235490,5,1,"{'classifier__alpha': 0.001, 'classifier__hidden_layer_sizes': (100,), 'classifier__learning_rate_init': 0.0001}",0.9973713185147055,0.001159680234223737,0.9908064108572161,0.0011908780233495595,0.9940779205080471,0.0011300731977412725,0.9976389655611703,0.00045048567532806765,0.9950767574454332,0.0007216016178258289,14.942612409591675,10
mlp,search_01_initial,iot23,235490,5,1,"{'classifier__alpha': 0.0001, 'classifier__hidden_layer_sizes': (50,), 'classifier__learning_rate_init': 0.0001}",0.9973072757398629,0.0011943288390562092,0.9908064108572161,0.0012445651782852644,0.9940461437050141,0.0011906954131169168,0.9976262261667163,0.00047465524157521956,0.9950687953802493,0.0007592132969879012,13.931051588058471,11
mlp,search_01_initial,iot23,235490,5,1,"{'classifier__alpha': 0.001, 'classifier__hidden_layer_sizes': (50,), 'classifier__learning_rate_init': 0.0001}",0.997264714081982,0.0012284192757458403,0.9908064108572161,0.0012445651782852644,0.9940249907051044,0.001203355352420289,0.9976177332370801,0.00047975656690298605,0.9950634872428747,0.0007616851261209521,13.201003170013427,12
