model,search_stage,training_source,training_rows,n_splits,random_state,params,mean_test_precision_attack,std_test_precision_attack,mean_test_recall_attack,std_test_recall_attack,mean_test_f1_attack,std_test_f1_attack,mean_test_accuracy,std_test_accuracy,mean_test_balanced_accuracy,std_test_balanced_accuracy,mean_fit_time,rank_test_f1_attack
mlp,search_01_initial,unsw_nb15_iot23,470980,5,1,"{'classifier__alpha': 0.001, 'classifier__hidden_layer_sizes': (100, 50), 'classifier__learning_rate_init': 0.001}",0.9664515861773741,0.0008226287968157446,0.9902118949836298,0.0017472274215487762,0.9781859695195951,0.0005907381645002324,0.9911673531784789,0.00023064207590980462,0.9908090560729963,0.0007847759963560825,82.13749761581421,1
mlp,search_01_initial,unsw_nb15_iot23,470980,5,1,"{'classifier__alpha': 0.0001, 'classifier__hidden_layer_sizes': (100, 50), 'classifier__learning_rate_init': 0.001}",0.9661406492961943,0.0006048754366959766,0.9899146539415625,0.001657243828346744,0.9778820672729356,0.0006546217684875466,0.9910442056987557,0.0002573056345278558,0.9906206249795122,0.0007724789675576574,87.88831067085266,2
mlp,search_01_initial,unsw_nb15_iot23,470980,5,1,"{'classifier__alpha': 0.001, 'classifier__hidden_layer_sizes': (100, 50), 'classifier__learning_rate_init': 0.0001}",0.960686155324739,0.005820350357432054,0.9630981918635835,0.018867218592748435,0.9617585822317899,0.00832881017323285,0.9847169731198777,0.0031409461506833702,0.9766099279384022,0.008948111946135128,97.14919557571412,3
mlp,search_01_initial,unsw_nb15_iot23,470980,5,1,"{'classifier__alpha': 0.0001, 'classifier__hidden_layer_sizes': (100, 50), 'classifier__learning_rate_init': 0.0001}",0.9628712743864469,0.0007740712203045358,0.9549771180961389,0.021143400704862373,0.958788879332517,0.0106276276432304,0.9836298781264597,0.00404497785833736,0.9728851264291812,0.01045540015302558,107.83783006668091,4
mlp,search_01_initial,unsw_nb15_iot23,470980,5,1,"{'classifier__alpha': 0.001, 'classifier__hidden_layer_sizes': (50,), 'classifier__learning_rate_init': 0.001}",0.9626180119974874,0.0019668230687801247,0.9514737739132434,0.018348943884606717,0.9569326710981679,0.009841309048902952,0.9829079791073931,0.003746244884638569,0.971120183976687,0.009214674815213122,47.57976326942444,5
mlp,search_01_initial,unsw_nb15_iot23,470980,5,1,"{'classifier__alpha': 0.0001, 'classifier__hidden_layer_sizes': (100,), 'classifier__learning_rate_init': 0.001}",0.9633574754194205,0.002210399904037181,0.9502100393895349,0.018382069110880177,0.9566524462246375,0.009667648118973624,0.9828145568813962,0.0036680792511659295,0.9705878435685978,0.0091730793305599,54.05214943885803,6
mlp,search_01_initial,unsw_nb15_iot23,470980,5,1,"{'classifier__alpha': 0.001, 'classifier__hidden_layer_sizes': (100,), 'classifier__learning_rate_init': 0.001}",0.960032565704466,0.006686899737856583,0.951377785659216,0.018530475929570675,0.955564943266549,0.009063913994006976,0.9823368295893669,0.0034400388447280356,0.9707271592649876,0.00896383181130737,47.79770874977112,7
mlp,search_01_initial,unsw_nb15_iot23,470980,5,1,"{'classifier__alpha': 0.0001, 'classifier__hidden_layer_sizes': (50,), 'classifier__learning_rate_init': 0.001}",0.9624231607501699,0.0017070811320461369,0.943702637693478,0.01739953976389272,0.9528948189733765,0.009158991090117093,0.9813728820756721,0.003478413318256534,0.9672465591935071,0.008691632603115467,36.537944841384885,8
mlp,search_01_initial,unsw_nb15_iot23,470980,5,1,"{'classifier__alpha': 0.0001, 'classifier__hidden_layer_sizes': (100,), 'classifier__learning_rate_init': 0.0001}",0.9605010683595765,0.00115039791804868,0.9252303461142237,0.0018034426272709677,0.9425353654686601,0.0013726951222709234,0.9774364091893499,0.0005294730333440174,0.9578591331440409,0.000995524785375061,74.53311200141907,9
mlp,search_01_initial,unsw_nb15_iot23,470980,5,1,"{'classifier__alpha': 0.001, 'classifier__hidden_layer_sizes': (50,), 'classifier__learning_rate_init': 0.0001}",0.9601113586249264,0.0013254627151499008,0.9254957642528842,0.0016644103048137346,0.942484900219285,0.0011911098090677586,0.9774088071680327,0.0004615284113823198,0.9579414155774912,0.0008784104099283828,66.26966495513916,10
mlp,search_01_initial,unsw_nb15_iot23,470980,5,1,"{'classifier__alpha': 0.001, 'classifier__hidden_layer_sizes': (100,), 'classifier__learning_rate_init': 0.0001}",0.9604980691422467,0.0011189514212151747,0.9249012415969988,0.0017633917483128878,0.9423631921716282,0.0013551009513777502,0.9773727122170793,0.0005228327777132319,0.9576959078669421,0.0009781646747536264,74.55703253746033,11
mlp,search_01_initial,unsw_nb15_iot23,470980,5,1,"{'classifier__alpha': 0.0001, 'classifier__hidden_layer_sizes': (50,), 'classifier__learning_rate_init': 0.0001}",0.9601111766034265,0.0012537160403696547,0.9252409736589037,0.0014503254971047776,0.9423529207317234,0.0010985790443907653,0.9773599728226252,0.0004274294134149159,0.9578153472267947,0.0007797730599856157,60.14219565391541,12
