model,search_stage,training_source,training_rows,n_splits,random_state,params,mean_test_precision_attack,std_test_precision_attack,mean_test_recall_attack,std_test_recall_attack,mean_test_f1_attack,std_test_f1_attack,mean_test_accuracy,std_test_accuracy,mean_test_balanced_accuracy,std_test_balanced_accuracy,mean_fit_time,rank_test_f1_attack
mlp,search_01_initial,unsw_nb15,235490,5,1,"{'classifier__alpha': 0.0001, 'classifier__hidden_layer_sizes': (100, 50), 'classifier__learning_rate_init': 0.001}",0.9388980923483606,0.0020369547165880754,0.9969637668271816,0.0004278890406326985,0.9670588464635734,0.001067985845251525,0.9864155590470933,0.00045585755319784625,0.9903711322005206,0.0003297497234109591,39.39176597595215,1
mlp,search_01_initial,unsw_nb15,235490,5,1,"{'classifier__alpha': 0.001, 'classifier__hidden_layer_sizes': (100, 50), 'classifier__learning_rate_init': 0.001}",0.938865072662054,0.002410790319414531,0.9966877786215648,0.0010431365900751234,0.9669108761119984,0.0013717893447439688,0.9863561085396407,0.0005806332204386705,0.9902304835359524,0.000617415483261321,33.60763292312622,2
mlp,search_01_initial,unsw_nb15,235490,5,1,"{'classifier__alpha': 0.0001, 'classifier__hidden_layer_sizes': (100,), 'classifier__learning_rate_init': 0.001}",0.939525250160497,0.0018209116190527285,0.9938426913662564,0.0014599941790080604,0.9659204837811688,0.0015252389985834318,0.9859739267060172,0.0006322243152959026,0.9889247185783446,0.0009158734859166946,40.605424451828,3
mlp,search_01_initial,unsw_nb15,235490,5,1,"{'classifier__alpha': 0.001, 'classifier__hidden_layer_sizes': (100,), 'classifier__learning_rate_init': 0.001}",0.9395055305585049,0.0018384529472820447,0.9938002104883994,0.0016602893133080999,0.9658890550795377,0.001318635076105593,0.9859611873115632,0.0005468549843137565,0.9889008243524845,0.0008856539093167822,38.45522899627686,4
mlp,search_01_initial,unsw_nb15,235490,5,1,"{'classifier__alpha': 0.0001, 'classifier__hidden_layer_sizes': (50,), 'classifier__learning_rate_init': 0.001}",0.9388339824844298,0.0020654523563466507,0.9942460883938571,0.0013349151925568235,0.9657449568997567,0.0015124702962213278,0.9858932438744745,0.0006307965904365086,0.989025563115978,0.0008428933488566825,36.243262720108035,5
mlp,search_01_initial,unsw_nb15,235490,5,1,"{'classifier__alpha': 0.0001, 'classifier__hidden_layer_sizes': (100, 50), 'classifier__learning_rate_init': 0.0001}",0.9378997816984246,0.0025258075326015992,0.9949254781352865,0.0005130790834310916,0.9655695497731529,0.0013497302090523654,0.9858083145781137,0.0005757993339760174,0.9892272469784646,0.00042837826723591887,75.95469670295715,6
mlp,search_01_initial,unsw_nb15,235490,5,1,"{'classifier__alpha': 0.001, 'classifier__hidden_layer_sizes': (100, 50), 'classifier__learning_rate_init': 0.0001}",0.9378391420535163,0.001952247279152828,0.9945857595964609,0.0009958732655736355,0.965378155283856,0.0012125080067599762,0.9857318782113891,0.0005102830314934946,0.9890520806282614,0.000605200670518809,62.8639790058136,7
mlp,search_01_initial,unsw_nb15,235490,5,1,"{'classifier__alpha': 0.001, 'classifier__hidden_layer_sizes': (50,), 'classifier__learning_rate_init': 0.001}",0.9393348004832086,0.002160632245213481,0.99278101880623,0.0011859183408656241,0.9653175370592066,0.0014359453168258738,0.9857318782113891,0.0006011410546243575,0.9883753033948868,0.0007460230669017277,30.971127796173096,8
mlp,search_01_initial,unsw_nb15,235490,5,1,"{'classifier__alpha': 0.001, 'classifier__hidden_layer_sizes': (100,), 'classifier__learning_rate_init': 0.0001}",0.9364803541057846,0.0017011538685190626,0.8647924543357611,0.007265699568092182,0.8991911564882725,0.003720933009824306,0.9612255297464861,0.001282713567055657,0.9250631104727836,0.0035070754283011516,58.7710946559906,9
mlp,search_01_initial,unsw_nb15,235490,5,1,"{'classifier__alpha': 0.0001, 'classifier__hidden_layer_sizes': (100,), 'classifier__learning_rate_init': 0.0001}",0.9370656914321428,0.0017840271715570473,0.8630090306240559,0.002547334888660641,0.8985111035522785,0.001571307962201637,0.961008960040766,0.0005778313709516008,0.9242589821087833,0.0012609089993603688,50.61136417388916,10
mlp,search_01_initial,unsw_nb15,235490,5,1,"{'classifier__alpha': 0.001, 'classifier__hidden_layer_sizes': (50,), 'classifier__learning_rate_init': 0.0001}",0.9353501571379479,0.0018840553474131383,0.8610132137935947,0.003736339208693965,0.8966391501878244,0.0023342114333477384,0.9602998004161535,0.0008429419848465465,0.9230673289334259,0.001889332328773567,37.42401928901673,11
mlp,search_01_initial,unsw_nb15,235490,5,1,"{'classifier__alpha': 0.0001, 'classifier__hidden_layer_sizes': (50,), 'classifier__learning_rate_init': 0.0001}",0.9349601263450392,0.0017194666982226468,0.8606947289313803,0.003799145107460227,0.8962873895023847,0.0023623781826381156,0.9601639135419763,0.0008495477132901699,0.9228629678981463,0.0019246463944676026,34.67991442680359,12
