model,search_stage,training_source,training_rows,n_splits,random_state,params,mean_test_precision_attack,std_test_precision_attack,mean_test_recall_attack,std_test_recall_attack,mean_test_f1_attack,std_test_f1_attack,mean_test_accuracy,std_test_accuracy,mean_test_balanced_accuracy,std_test_balanced_accuracy,mean_fit_time,rank_test_f1_attack
random_forest,search_01_initial,iot23,235490,5,1,"{'classifier__max_depth': 10, 'classifier__min_samples_leaf': 1, 'classifier__n_estimators': 100}",0.9998503701923702,0.00010899824721686635,0.9933754963822728,0.0009049500416022868,0.9966022299455488,0.00048305540659031115,0.9986453777230455,0.00019198529968078272,0.9966691699216422,0.00045892071117629264,31.539677715301515,1
random_forest,search_01_initial,iot23,235490,5,1,"{'classifier__max_depth': 10, 'classifier__min_samples_leaf': 1, 'classifier__n_estimators': 200}",0.9998289889650878,0.00014500142747419037,0.9933542649597676,0.0009222125453027557,0.9965809238839742,0.0005037792139590601,0.9986368847934095,0.00020026032736083786,0.9966559001417024,0.00047028650345448214,60.04327926635742,2
random_forest,search_01_initial,iot23,235490,5,1,"{'classifier__max_depth': 20, 'classifier__min_samples_leaf': 5, 'classifier__n_estimators': 200}",0.9998076739198696,0.00018369315322887866,0.9932056427481246,0.0008279065196374203,0.996495538549109,0.0004227023938850852,0.9986029130748652,0.0001679368120368674,0.9965789351785102,0.0004135664968797739,61.01037044525147,3
random_forest,search_01_initial,iot23,235490,5,1,"{'classifier__max_depth': 10, 'classifier__min_samples_leaf': 5, 'classifier__n_estimators': 200}",0.9998503655953883,0.00010893379299474491,0.993141946226503,0.0008509985799854992,0.9964846863879553,0.00043944757315377415,0.9985986666100471,0.00017457051077408213,0.9965523949141961,0.0004276317087058898,63.126133632659915,4
random_forest,search_01_initial,iot23,235490,5,1,"{'classifier__max_depth': None, 'classifier__min_samples_leaf': 5, 'classifier__n_estimators': 100}",0.9998503610155136,0.00010894098767692454,0.9931419484806087,0.0008770601813022715,0.9964846761562625,0.00045475316040223486,0.9985986666100471,0.00018066200166615116,0.996552396041249,0.00044123847168205566,30.33198962211609,5
random_forest,search_01_initial,iot23,235490,5,1,"{'classifier__max_depth': 10, 'classifier__min_samples_leaf': 5, 'classifier__n_estimators': 100}",0.9998717171526371,7.998418602154701e-05,0.993120710295786,0.0008069778343159032,0.9964846274629032,0.0004248729805650739,0.9985986666100471,0.0001687936380682961,0.9965444309470861,0.0004078482900675176,31.84247283935547,6
random_forest,search_01_initial,iot23,235490,5,1,"{'classifier__max_depth': None, 'classifier__min_samples_leaf': 5, 'classifier__n_estimators': 200}",0.9998076693448776,0.0001836936902913421,0.9931631799031141,0.0008213312329383581,0.9964741644132122,0.00041729561763943865,0.9985944201452291,0.00016577537301747095,0.9965577037560049,0.00040972602467238795,42.67690668106079,7
random_forest,search_01_initial,iot23,235490,5,1,"{'classifier__max_depth': 20, 'classifier__min_samples_leaf': 5, 'classifier__n_estimators': 100}",0.9998289980579053,0.0001448741980383988,0.9931207148039976,0.0008791210740007781,0.9964633723495806,0.0004554773438531674,0.9985901736804109,0.00018096119370383904,0.9965391252046951,0.0004417219661633881,31.890503644943237,8
random_forest,search_01_initial,iot23,235490,5,1,"{'classifier__max_depth': 20, 'classifier__min_samples_leaf': 1, 'classifier__n_estimators': 200}",0.9991674936639307,0.0002466175128522234,0.9936939812444873,0.0009745071985789762,0.9964229372375006,0.0004759789171718765,0.9985731878211389,0.00018914652385510953,0.996743483140901,0.00048077879263560625,64.92999935150146,9
random_forest,search_01_initial,iot23,235490,5,1,"{'classifier__max_depth': None, 'classifier__min_samples_leaf': 1, 'classifier__n_estimators': 200}",0.9991675163610904,0.0001950143106306546,0.9936727498219821,0.0009928312990183717,0.996412240460183,0.0004468668682923237,0.9985689413563209,0.0001774392323731493,0.9967328673592093,0.0004819294656329342,61.78794574737549,10
random_forest,search_01_initial,iot23,235490,5,1,"{'classifier__max_depth': 20, 'classifier__min_samples_leaf': 1, 'classifier__n_estimators': 100}",0.9991674298958149,0.0002466682136087876,0.9936302847228656,0.0009707929189012586,0.9963908880834381,0.0004795201953009072,0.9985604484266848,0.00019057119769261516,0.9967116348800902,0.0004802478860355863,31.426841306686402,11
random_forest,search_01_initial,iot23,235490,5,1,"{'classifier__max_depth': None, 'classifier__min_samples_leaf': 1, 'classifier__n_estimators': 100}",0.9991461693233081,0.0002232420370582906,0.9936302847228656,0.0010005195753190893,0.9963802637685522,0.0004486526075967183,0.9985562019618668,0.00017814919498411412,0.9967089808114027,0.00048474262174941565,31.502563762664796,12
