model,search_stage,training_source,training_rows,n_splits,random_state,params,mean_test_precision_attack,std_test_precision_attack,mean_test_recall_attack,std_test_recall_attack,mean_test_f1_attack,std_test_f1_attack,mean_test_accuracy,std_test_accuracy,mean_test_balanced_accuracy,std_test_balanced_accuracy,mean_fit_time,rank_test_f1_attack
xgboost,search_01_initial,cicids2017,235490,5,1,"{'classifier__learning_rate': 0.3, 'classifier__max_depth': 6, 'classifier__n_estimators': 100}",0.9807706616405474,0.0012225696831091252,0.9929509085060712,0.0013669045722722727,0.986822190257849,0.0008259366087684294,0.9946961654422692,0.000332039879439885,0.994041699399629,0.0006687554096504763,3.1004380226135253,1
xgboost,search_01_initial,cicids2017,235490,5,1,"{'classifier__learning_rate': 0.1, 'classifier__max_depth': 6, 'classifier__n_estimators': 200}",0.9803843375017566,0.001160124018696348,0.9932056743056057,0.0009130806729152145,0.9867528731393094,0.00078457291600132,0.994666440188543,0.00031675325829497706,0.994118655769166,0.0004960081486188346,6.08582444190979,2
xgboost,search_01_initial,cicids2017,235490,5,1,"{'classifier__learning_rate': 0.3, 'classifier__max_depth': 6, 'classifier__n_estimators': 200}",0.9810026099036311,0.0011629251300277553,0.9921228559790946,0.00164496786469801,0.9865298221152049,0.0006817403253903066,0.9945815108921823,0.0002717073892402778,0.9936595223125831,0.0007439145095688066,3.8950250148773193,3
xgboost,search_01_initial,cicids2017,235490,5,1,"{'classifier__learning_rate': 0.3, 'classifier__max_depth': 3, 'classifier__n_estimators': 200}",0.9800885887362545,0.0012613403245524848,0.9927810458554995,0.001291282503932901,0.9863932720837008,0.0009606241556140287,0.9945220603847297,0.0003866382314353832,0.9938691849346855,0.0006833509947720733,4.289761352539062,4
xgboost,search_01_initial,cicids2017,235490,5,1,"{'classifier__learning_rate': 0.1, 'classifier__max_depth': 6, 'classifier__n_estimators': 100}",0.9799212928771264,0.0013698087463247359,0.9926111719343991,0.0008971085052853099,0.986224803523356,0.0008664393378502279,0.9944541169476411,0.0003507898667130515,0.9937630147906866,0.0004992033184669342,3.4981488227844237,5
xgboost,search_01_initial,cicids2017,235490,5,1,"{'classifier__learning_rate': 0.05, 'classifier__max_depth': 6, 'classifier__n_estimators': 200}",0.9798198683448147,0.0013106645864643855,0.9926748707101268,0.0008777954175630159,0.9862048385842952,0.0007883671708219929,0.9944456240180051,0.0003193612582608679,0.9937815941168695,0.00046634639705198073,6.326085758209229,6
xgboost,search_01_initial,cicids2017,235490,5,1,"{'classifier__learning_rate': 0.05, 'classifier__max_depth': 6, 'classifier__n_estimators': 100}",0.9794329657530669,0.0014032288169060843,0.9918043485758222,0.0007394963401027178,0.9855791851118043,0.0007939692775011794,0.9941950825937406,0.00032245183246115683,0.9932985607290521,0.0004077038979117237,3.8604291439056397,7
xgboost,search_01_initial,cicids2017,235490,5,1,"{'classifier__learning_rate': 0.3, 'classifier__max_depth': 3, 'classifier__n_estimators': 100}",0.9795893359883155,0.0010075997832549967,0.991485872730031,0.0010557864167539306,0.9855014378390277,0.0008961256136028587,0.9941653573400144,0.00036067463361649636,0.9931605547921434,0.0006020421965804455,2.5490737915039063,8
xgboost,search_01_initial,cicids2017,235490,5,1,"{'classifier__learning_rate': 0.1, 'classifier__max_depth': 3, 'classifier__n_estimators': 200}",0.9788563711931474,0.001356214127775364,0.9907851929593455,0.0010211350138682469,0.9847844448129074,0.0011123739247881266,0.9938765977323877,0.0004489218323122982,0.9927173232775734,0.0006482473498666181,4.427107048034668,9
xgboost,search_01_initial,cicids2017,235490,5,1,"{'classifier__learning_rate': 0.05, 'classifier__max_depth': 3, 'classifier__n_estimators': 200}",0.9765681418742156,0.0008133706030435445,0.9840120423348118,0.0019117007319805297,0.9802752669652026,0.0012089421305208996,0.9920803431143573,0.00048062028338937096,0.9890547280620188,0.0010073571025896292,4.758313179016113,10
xgboost,search_01_initial,cicids2017,235490,5,1,"{'classifier__learning_rate': 0.1, 'classifier__max_depth': 3, 'classifier__n_estimators': 100}",0.9766269438986257,0.0009318855045662019,0.9838634156149573,0.0014984902336434298,0.9802312919019723,0.001013640218991973,0.9920633572550852,0.00040450781618279065,0.9889883762742029,0.0007964428595405611,2.740182876586914,11
xgboost,search_01_initial,cicids2017,235490,5,1,"{'classifier__learning_rate': 0.05, 'classifier__max_depth': 3, 'classifier__n_estimators': 100}",0.9760707395499463,0.0008908801302392062,0.9639050850147273,0.0016858895475348956,0.9699489448769472,0.0010191262216104652,0.9880546944668565,0.0003991676928956598,0.9789985956150449,0.0008627006684661741,2.7456979274749758,12
