model,search_stage,training_source,training_rows,n_splits,random_state,params,mean_test_precision_attack,std_test_precision_attack,mean_test_recall_attack,std_test_recall_attack,mean_test_f1_attack,std_test_f1_attack,mean_test_accuracy,std_test_accuracy,mean_test_balanced_accuracy,std_test_balanced_accuracy,mean_fit_time,rank_test_f1_attack
xgboost,search_01_initial,cicids2017_unsw_nb15,470980,5,1,"{'classifier__learning_rate': 0.3, 'classifier__max_depth': 6, 'classifier__n_estimators': 200}",0.9617878604437335,0.0009356741612441101,0.9926536190170616,0.0005692909610632524,0.9769768774558318,0.0006926498929642008,0.9906429147734512,0.00028356084801556513,0.991396929610899,0.0003749075990902992,8.884298753738403,1
xgboost,search_01_initial,cicids2017_unsw_nb15,470980,5,1,"{'classifier__learning_rate': 0.3, 'classifier__max_depth': 6, 'classifier__n_estimators': 100}",0.9605095885122001,0.000937909199417864,0.9935878393615629,0.0009556921564007018,0.9767684636029287,0.0007878209412891285,0.9905473693150452,0.00032071353498662025,0.9916875461173209,0.0005343773456442293,6.717648983001709,2
xgboost,search_01_initial,cicids2017_unsw_nb15,470980,5,1,"{'classifier__learning_rate': 0.1, 'classifier__max_depth': 6, 'classifier__n_estimators': 200}",0.9598565004545933,0.001002937869582003,0.9932481247680507,0.0005651126465361111,0.9762665690526328,0.0006225783613928164,0.9903414157713704,0.0002564105336014489,0.9914314324335061,0.00032889012727088543,14.903721904754638,3
xgboost,search_01_initial,cicids2017_unsw_nb15,470980,5,1,"{'classifier__learning_rate': 0.3, 'classifier__max_depth': 3, 'classifier__n_estimators': 200}",0.9592178136353136,0.0008077292874112184,0.9912735354189695,0.0011415381470727623,0.9749815923699382,0.0005571858416957213,0.9898254702959786,0.0002242599843137566,0.9903684975057763,0.0005346858406301709,9.78251223564148,4
xgboost,search_01_initial,cicids2017_unsw_nb15,470980,5,1,"{'classifier__learning_rate': 0.05, 'classifier__max_depth': 6, 'classifier__n_estimators': 200}",0.9592533541952651,0.0009215906966652018,0.9901800613737889,0.0011388558576502434,0.9744708633028736,0.0007418353310129897,0.9896237632171218,0.0003003154440740267,0.9898323767403252,0.0005814394221640971,15.558496618270874,5
xgboost,search_01_initial,cicids2017_unsw_nb15,470980,5,1,"{'classifier__learning_rate': 0.1, 'classifier__max_depth': 6, 'classifier__n_estimators': 100}",0.9591671914402708,0.0008078410952295923,0.99025437417004,0.0010947592975881167,0.9744625211198228,0.0007304105853782424,0.9896195167523038,0.0002952285760044828,0.989857589864578,0.0005709862196640282,8.247162437438964,6
xgboost,search_01_initial,cicids2017_unsw_nb15,470980,5,1,"{'classifier__learning_rate': 0.3, 'classifier__max_depth': 3, 'classifier__n_estimators': 100}",0.9579182561694018,0.0007354546569606632,0.9852329252378716,0.0007766720768893427,0.9713834111798333,0.0006140155949282173,0.9883901651874816,0.00024902538386168224,0.9872062011140346,0.00042608334929127327,5.325699710845948,7
xgboost,search_01_initial,cicids2017_unsw_nb15,470980,5,1,"{'classifier__learning_rate': 0.05, 'classifier__max_depth': 6, 'classifier__n_estimators': 100}",0.9557615437800402,0.0013338493567459748,0.9813898670249603,0.001188657675404736,0.9684054136356608,0.0009313627294618812,0.9871926621087944,0.00037961352935243054,0.9850166137116568,0.0006278330681941789,9.131685352325439,8
xgboost,search_01_initial,cicids2017_unsw_nb15,470980,5,1,"{'classifier__learning_rate': 0.1, 'classifier__max_depth': 3, 'classifier__n_estimators': 200}",0.9579397038522359,0.0008150186041021097,0.9784916617726992,0.0011697967713616224,0.9681060037201574,0.0006393440246088243,0.9871056095800247,0.00025519451748167647,0.9838753800947784,0.0005674194526639737,9.462645721435546,9
xgboost,search_01_initial,cicids2017_unsw_nb15,470980,5,1,"{'classifier__learning_rate': 0.1, 'classifier__max_depth': 3, 'classifier__n_estimators': 100}",0.9544903638038427,0.0007554986559398097,0.9692025363204511,0.0012516811538725253,0.9617894401264506,0.0005792051717596395,0.9845980721049727,0.0002273346437525844,0.9788247492972095,0.0005850039162910066,5.571210098266602,10
xgboost,search_01_initial,cicids2017_unsw_nb15,470980,5,1,"{'classifier__learning_rate': 0.05, 'classifier__max_depth': 3, 'classifier__n_estimators': 200}",0.9544911773253318,0.0009760220622577154,0.9690008135762994,0.001859097585467966,0.9616901966614139,0.0010710782045175418,0.9845598539216102,0.00042249657477887577,0.9787252150123074,0.000936274379396932,9.823621559143067,11
xgboost,search_01_initial,cicids2017_unsw_nb15,470980,5,1,"{'classifier__learning_rate': 0.05, 'classifier__max_depth': 3, 'classifier__n_estimators': 100}",0.9499404800313908,0.0037609634550116637,0.9426196029851341,0.0062108298517609874,0.9462494619283373,0.003324370580868339,0.9785850779226294,0.001281919040633528,0.9650980214578831,0.0030086928932424113,5.823239803314209,12
