model,search_stage,training_source,training_rows,n_splits,random_state,params,mean_test_precision_attack,std_test_precision_attack,mean_test_recall_attack,std_test_recall_attack,mean_test_f1_attack,std_test_f1_attack,mean_test_accuracy,std_test_accuracy,mean_test_balanced_accuracy,std_test_balanced_accuracy,mean_fit_time,rank_test_f1_attack
xgboost,search_01_initial,unsw_nb15_iot23,470980,5,1,"{'classifier__learning_rate': 0.3, 'classifier__max_depth': 6, 'classifier__n_estimators': 100}",0.9706880813757925,0.0007225913813694922,0.9949148511653503,0.0007724800106693192,0.9826520306518522,0.0006534265647067985,0.9929742239585545,0.0002644596557021484,0.9937019586113154,0.0004413082164214157,6.461480665206909,1
xgboost,search_01_initial,unsw_nb15_iot23,470980,5,1,"{'classifier__learning_rate': 0.1, 'classifier__max_depth': 6, 'classifier__n_estimators': 200}",0.9703109800499601,0.000775753610163434,0.9950740958500847,0.0005302180888790028,0.9825364029450132,0.0005639767642047313,0.992925389613147,0.00022952525345076524,0.9937311542297529,0.0003226351819905288,13.24902811050415,2
xgboost,search_01_initial,unsw_nb15_iot23,470980,5,1,"{'classifier__learning_rate': 0.3, 'classifier__max_depth': 6, 'classifier__n_estimators': 200}",0.9715501408325842,0.0008870325991132294,0.9933224392547917,0.0006451814189820403,0.9823153391536439,0.0005378564436887788,0.9928468300140134,0.00021895046034219292,0.9930251846551466,0.00033485564588381714,7.86033992767334,3
xgboost,search_01_initial,unsw_nb15_iot23,470980,5,1,"{'classifier__learning_rate': 0.3, 'classifier__max_depth': 3, 'classifier__n_estimators': 200}",0.970047689549931,0.0006715955201641936,0.9946600628253559,0.00047556030347862887,0.9821996333487537,0.0005140763266609874,0.9927895027389699,0.00020904945628512828,0.9934909621229469,0.00029601388460197406,9.038205099105834,4
xgboost,search_01_initial,unsw_nb15_iot23,470980,5,1,"{'classifier__learning_rate': 0.05, 'classifier__max_depth': 6, 'classifier__n_estimators': 200}",0.9700262207931184,0.0008742171264568536,0.9939169337358503,0.0005120672010744883,0.981826128501132,0.0006227302795458055,0.9926408764703384,0.0002537595850070861,0.9931193976486338,0.00033249693331431374,13.84449324607849,5
xgboost,search_01_initial,unsw_nb15_iot23,470980,5,1,"{'classifier__learning_rate': 0.1, 'classifier__max_depth': 6, 'classifier__n_estimators': 100}",0.969956959484837,0.0008479115993360878,0.9939593971443573,0.0005397244515317721,0.981811425973558,0.0006616960833450598,0.9926345067731115,0.0002691903682846325,0.9931313402357516,0.00036241276786043935,7.229349756240845,6
xgboost,search_01_initial,unsw_nb15_iot23,470980,5,1,"{'classifier__learning_rate': 0.3, 'classifier__max_depth': 3, 'classifier__n_estimators': 100}",0.9692210783197478,0.001092732786449302,0.9925049827181247,0.0004472508839540806,0.9807246035066466,0.0006875517486975918,0.9921971208968534,0.00028135833833246843,0.9923125686390819,0.0003151528238138078,5.239545822143555,7
xgboost,search_01_initial,unsw_nb15_iot23,470980,5,1,"{'classifier__learning_rate': 0.1, 'classifier__max_depth': 3, 'classifier__n_estimators': 200}",0.9683468471721401,0.0010021703471380598,0.9895643005334398,0.000711211709877615,0.9788403854227123,0.0007378900091582984,0.9914433733916515,0.00029996998619812986,0.9907387198893127,0.0004289718657861738,9.090054750442505,8
xgboost,search_01_initial,unsw_nb15_iot23,470980,5,1,"{'classifier__learning_rate': 0.05, 'classifier__max_depth': 6, 'classifier__n_estimators': 100}",0.9683945408195468,0.0005928050168292716,0.988842406810915,0.0007473195842953982,0.9785114585991461,0.0005037538674338847,0.9913138562147011,0.0002028103772773236,0.9903870620043065,0.00038835638396670784,8.242378282546998,9
xgboost,search_01_initial,unsw_nb15_iot23,470980,5,1,"{'classifier__learning_rate': 0.1, 'classifier__max_depth': 3, 'classifier__n_estimators': 100}",0.9668246417904973,0.0007610955013196665,0.9819843699584669,0.0007935236509960422,0.97434545642053,0.000721271774099759,0.989657734935666,0.00029061149765971604,0.9867802229659599,0.00047069313332386345,5.660701417922974,10
xgboost,search_01_initial,unsw_nb15_iot23,470980,5,1,"{'classifier__learning_rate': 0.05, 'classifier__max_depth': 3, 'classifier__n_estimators': 200}",0.9667985907101091,0.0007693004029466172,0.9818038966687099,0.0007156744604985237,0.9742433866702693,0.0006874756250387406,0.9896173935198946,0.0002774862499928736,0.986687332270004,0.0004325244124316346,10.210024547576904,11
xgboost,search_01_initial,unsw_nb15_iot23,470980,5,1,"{'classifier__learning_rate': 0.05, 'classifier__max_depth': 3, 'classifier__n_estimators': 100}",0.9648385839734278,0.0005952839699866357,0.9799672811370999,0.0014374275578289185,0.9723436471296207,0.0008720703371773376,0.9888509066202387,0.0003459240197786313,0.9855195445305984,0.0007464070855916129,5.972967863082886,12
